,0,1,MeanRecoveryTerm,AltMeanRecoveryTerm,Cluster
GL,12.583333333333334,24.0,14.666666666666666,4.888888888888889,-1
GLW,11.666666666666666,23.0,14.958333333333334,6.555555555555555,0
GM,10.916666666666666,23.666666666666668,13.541666666666666,3.888888888888889,0
GNRC,11.791666666666666,21.22222222222222,12.583333333333334,6.111111111111111,-1
GPC,12.291666666666666,19.333333333333332,12.75,7.0,-1
GPN,11.1875,14.0,15.166666666666666,12.555555555555555,-1
GRMN,12.6875,21.0,14.958333333333334,6.333333333333333,-1
GS,10.875,21.0,15.083333333333334,6.666666666666667,-1
GWW,10.958333333333334,21.444444444444443,13.958333333333334,6.888888888888889,-1
HAL,10.125,21.555555555555557,16.541666666666668,6.888888888888889,-1
HCA,11.583333333333334,23.11111111111111,12.916666666666666,4.555555555555555,0
HD,14.875,23.0,11.125,5.444444444444445,-1
HES,8.041666666666666,18.444444444444443,15.5,8.0,-1
HIG,10.0,20.88888888888889,15.583333333333334,8.11111111111111,-1
HII,9.125,21.77777777777778,14.791666666666666,5.555555555555555,-1
HLT,9.458333333333334,23.77777777777778,15.083333333333334,4.0,0
HPE,11.583333333333334,23.444444444444443,13.791666666666666,4.444444444444445,0
HPQ,10.375,22.0,14.083333333333334,4.666666666666667,-1
HRL,8.708333333333334,17.555555555555557,13.5,9.444444444444445,-1
HSY,12.625,10.666666666666666,12.75,12.444444444444445,-1
HUM,9.583333333333334,15.666666666666666,16.125,9.777777777777779,-1
HWM,10.75,23.333333333333332,13.333333333333334,4.222222222222222,0
IBM,13.041666666666666,18.555555555555557,12.166666666666666,7.666666666666667,-1
ICE,8.145833333333334,22.22222222222222,17.291666666666668,5.777777777777778,-1
IEX,9.791666666666666,26.666666666666668,16.291666666666668,2.7777777777777777,-1
IFF,11.208333333333334,25.555555555555557,13.791666666666666,3.4444444444444446,-1
INVH,8.375,24.0,16.291666666666668,3.888888888888889,-1
IP,13.708333333333334,25.555555555555557,13.0,4.111111111111111,-1
IPG,15.458333333333334,18.11111111111111,11.708333333333334,5.222222222222222,-1
IQV,10.208333333333334,21.77777777777778,14.916666666666666,5.111111111111111,-1
IR,10.666666666666666,20.444444444444443,13.875,6.777777777777778,-1
IRM,13.291666666666666,21.666666666666668,12.375,6.333333333333333,-1
IT,8.625,22.77777777777778,15.958333333333334,5.666666666666667,-1
ITW,15.708333333333334,21.0,11.875,7.0,-1
IVZ,12.291666666666666,24.77777777777778,14.833333333333334,3.3333333333333335,-1
J,10.291666666666666,24.88888888888889,15.875,4.444444444444445,-1
JCI,11.125,22.555555555555557,14.833333333333334,4.888888888888889,0
JNJ,14.458333333333334,15.333333333333334,12.875,12.444444444444445,-1
JNPR,16.166666666666668,22.88888888888889,10.125,4.888888888888889,-1
JPM,12.791666666666666,22.11111111111111,11.875,7.0,-1
K,11.75,11.222222222222221,13.291666666666666,11.777777777777779,-1
KEY,12.0,20.666666666666668,13.125,7.888888888888889,-1
KEYS,10.208333333333334,21.0,14.708333333333334,5.444444444444445,-1
KIM,8.958333333333334,16.77777777777778,16.75,9.333333333333334,-1
KMB,13.916666666666666,24.333333333333332,10.791666666666666,3.5555555555555554,-1
KMI,8.166666666666666,23.555555555555557,16.208333333333332,4.444444444444445,-1
KMX,9.5,21.11111111111111,13.791666666666666,4.111111111111111,-1
KO,12.541666666666666,22.11111111111111,13.708333333333334,7.666666666666667,-1
KR,8.958333333333334,21.88888888888889,14.625,6.555555555555555,-1
L,7.458333333333333,20.88888888888889,17.666666666666668,5.222222222222222,-1
LDOS,10.958333333333334,23.88888888888889,14.375,3.6666666666666665,0
LEN,14.041666666666666,21.22222222222222,11.5,6.222222222222222,-1
LH,13.166666666666666,15.0,14.666666666666666,10.777777777777779,-1
LHX,13.291666666666666,19.333333333333332,11.75,5.666666666666667,-1
LIN,10.333333333333334,20.22222222222222,15.875,7.333333333333333,-1
LLY,11.083333333333334,18.444444444444443,15.333333333333334,7.777777777777778,-1
LMT,7.583333333333333,21.555555555555557,16.458333333333332,4.666666666666667,-1
LNC,9.958333333333334,23.22222222222222,15.833333333333334,4.888888888888889,0
LOW,12.5,24.444444444444443,13.0,3.888888888888889,-1
LUMN,13.416666666666666,21.22222222222222,13.041666666666666,6.444444444444445,-1
